1,17
1,57
1,75
1,203
1,216
1,359
1,444
1,665
1,715
2,76
2,94
2,282
2,360
2,489
2,492
2,558
2,572
2,678
2,704
2,763
2,877
3,784
3,812
3,834
3,944
3,978
4,302
4,308
4,309
4,361
4,401
4,618
4,961
5,87
5,218
5,458
5,652
5,762
5,809
5,918
6,33
6,279
6,425
6,570
6,910
6,912
6,915
7,226
7,307
7,544
8,315
8,400
8,666
9,65
9,182
9,345
9,459
9,900
10,81
10,126
10,523
10,542
10,565
10,690
10,730
10,876
10,940
11,239
11,321
11,394
11,713
11,721
11,827
12,154
12,177
12,287
12,323
12,540
12,724
12,789
12,870
13,49
13,143
13,243
13,385
13,436
13,585
13,743
13,975
14,31
14,189
14,259
14,429
14,752
14,891
14,990
15,91
15,204
15,245
15,337
15,582
15,607
15,881
15,885
