1,10,4
1,1000,9
1,11,2
1,112,4
1,114,5
1,116,5
1,121,4
1,126,3
1,129,2
1,13,1
1,145,2
1,148,10
1,149,5
1,153,9
1,155,7
1,159,4
1,16,6
1,173,4
1,18,6
1,182,9
1,186,9
1,188,3
1,192,5
1,195,5
1,20,2
1,211,7
1,212,1
1,22,2
1,220,10
1,226,6
1,229,9
1,235,3
1,246,6
1,252,5
1,256,9
1,258,6
1,259,7
1,261,10
1,269,3
1,274,4
1,279,8
1,28,8
1,287,3
1,292,8
1,293,8
1,304,9
1,31,2
1,310,4
1,321,7
1,325,10
1,327,7
1,331,8
1,333,1
1,34,7
1,342,4
1,344,7
1,345,9
1,349,4
1,354,9
1,356,10
1,364,7
1,367,3
1,369,2
1,370,9
1,372,10
1,375,9
1,377,9
1,38,3
1,395,6
1,399,10
1,406,2
1,41,8
1,412,6
1,420,7
1,423,4
1,424,10
1,427,2
1,429,7
1,430,7
1,431,8
1,434,2
1,435,10
1,438,10
1,440,4
1,443,2
1,449,7
1,450,5
1,452,2
1,459,10
1,46,4
1,461,9
1,469,2
1,471,1
1,478,6
1,481,10
1,487,1
1,493,10
1,499,6
1,500,9
1,502,1
1,507,1
1,512,5
1,517,5
1,52,7
1,524,9
1,528,7
1,543,1
1,544,3
1,545,10
1,55,7
1,556,3
1,567,10
1,570,5
1,572,8
1,581,3
1,586,10
1,589,6
1,595,7
1,597,1
1,599,10
1,604,8
1,612,4
1,614,6
1,616,1
1,618,7
1,619,5
1,621,1
1,624,3
1,63,9
1,633,4
1,637,6
1,638,7
1,64,5
1,641,1
1,643,10
1,647,1
1,648,9
1,65,5
1,661,2
1,664,3
1,667,7
1,668,9
1,669,6
1,670,2
1,671,4
1,674,7
1,675,2
1,678,7
1,681,5
1,684,3
1,690,9
1,695,10
1,703,10
1,709,6
1,71,8
1,711,9
1,712,2
1,720,5
1,721,8
1,723,5
1,733,6
1,74,7
1,744,3
1,755,8
1,76,4
1,766,7
1,770,7
1,772,3
1,774,4
1,776,7
1,785,3
1,789,1
1,79,8
1,790,2
1,791,4
1,792,9
1,796,5
1,80,7
1,803,4
1,811,2
1,812,5
1,819,3
1,821,5
1,830,4
1,834,9
1,836,5
1,84,1
1,842,9
1,847,8
1,849,3
1,851,7
1,857,3
1,860,5
1,866,5
1,869,6
1,871,3
1,875,3
1,883,5
1,889,7
1,891,6
1,893,9
1,898,3
1,90,10
1,901,7
1,912,10
1,919,3
1,921,9
1,934,6
1,935,10
1,937,10
1,940,6
1,944,3
1,945,5
1,946,7
1,963,4
1,967,3
1,975,10
1,982,3
1,983,5
1,984,6
1,993,1
1,999,8
2,10,7
2,109,8
2,111,10
2,114,1
2,117,1
2,118,1
2,123,10
2,125,3
2,13,1
2,133,10
2,137,9
2,140,7
2,141,6
2,149,7
2,150,9
2,158,8
2,164,7
2,174,1
2,183,8
2,193,4
2,195,10
2,197,4
2,20,1
2,202,4
2,203,1
2,204,5
2,208,2
2,211,9
2,217,2
2,220,8
2,223,9
2,226,7
2,233,10
2,240,7
